KOID,Type,conservationScore,Description
K01689,BINDING,*,substrate
K01803,ACT_SITE,*,Electrophile
K01803,ACT_SITE,*,Proton acceptor
K01803,BINDING,*:*,substrate
K01803,BINDING,*,substrate
K01803,BINDING,:,substrate
K01803,BINDING,::,substrate
K01810,ACT_SITE,*,Proton donor
K01810,ACT_SITE,:,ECO:0000255|HAMAP-Rule:MF_00473
K01810,ACT_SITE,:,ECO:0000255|HAMAP-Rule:MF_00473
K01834,ACT_SITE,*,Tele-phosphohistidine intermediate
K01834,ACT_SITE,*,Proton donor/acceptor
K01834,BINDING,**:.::-..,substrate
K01834,BINDING,.:,substrate
K01834,BINDING,*,substrate
K01834,BINDING,*...,substrate
K01834,BINDING,.,substrate
K01834,BINDING,:.,substrate
K01834,BINDING,*:,substrate
K01834,SITE,*,Transition state stabilizer
K01899,ACT_SITE,.,Tele-phosphohistidine intermediate
K01899,BINDING,***.,CoA
K01899,BINDING,*,CoA
K01899,BINDING,*..,CoA
K01899,BINDING,*,substrate
K01902,ACT_SITE,*,Tele-phosphohistidine intermediate
K01902,BINDING,**--,CoA
K01902,BINDING,:,CoA
K01902,BINDING,*:*,CoA
K01902,BINDING,*,substrate
K01940,BINDING,*.******:,ATP
K01940,BINDING,*,L-citrulline
K01940,BINDING,*,ATP
K01940,BINDING,*,L-aspartate
K01940,BINDING,*,L-aspartate
K01940,BINDING,*,L-citrulline
K01940,BINDING,*,L-aspartate
K01940,BINDING,*,L-citrulline
K01940,BINDING,*,L-citrulline
K01940,BINDING,:,L-citrulline
K01940,BINDING,:,L-citrulline
K02446,BINDING,*,Mn(2+)
K02446,BINDING,*,Mn(2+)
K02446,BINDING,*,Mn(2+)
K02446,BINDING,-**,substrate
K02446,BINDING,-,Mn(2+)
K02446,BINDING,*,substrate
K02446,BINDING,:.*,substrate
K02446,BINDING,***,substrate
K02446,BINDING,*,substrate
K02446,BINDING,*,Mn(2+)
K11645,ACT_SITE,*,Proton donor
K11645,ACT_SITE,*,Schiff-base intermediate with dihydroxyacetone-P
K15633,ACT_SITE,*,Phosphoserine intermediate
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,substrate
K15633,BINDING,**,substrate
K15633,BINDING,*,substrate
K15633,BINDING,*,substrate
K15633,BINDING,*-**,substrate
K15633,BINDING,*,substrate
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,Mn(2+)
K15633,BINDING,*,Mn(2+)
